"Hide Column and 
Row 9",2020 Health Care Cost Information System (HCCIS) Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health Economics Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minnesota Department of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current as of 1-7-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Minnesota Hospitals Admissions by Care Unit of the Hospital, Fiscal Year ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Acute Care Admissions5,,,,,,,,,,,,,Non-Acute Care Admissions6,,,,,Total,,,,,,,,,,,,,,
HCCIS ID,Hospital Name,Affiliation,Report Year End Date,CAH1,Licensed Beds2,Licensed Bassinets3,Available Beds4,Med/Surg Admissions,Cardiac Admissions,Chemical Dependency Admissions,Mental Health (Psychiatric) Admissions,Neurology Admissions,Neonatal (exclude routine nursery) Admissions,Obstetrics Admissions,Orthopedic Admissions,Rehabilitation Admissions,Other Acute Care Specialty Admissions,Total Billing Acute Care Admissions,balancing account (discharge data to amt provided by hospital in 4320),Total Acute Care Admissions (ties to 4320),Routine Nursery Admissions (Births),Swing Bed Admissions (ties to 4324),"Subacute/
Transitional Care Admissions (ties to 4327)",Other Non-Acute Care Admissions,Total Non-Acute and Nursery Care Admissions,Total Acute and Non-Acute Care Hospital Admissions (4320+7180),,,,,,,,,,,,,,
,,,,,(#4504),(#4531),(#7082),(# 7691),(# 7268),(# 4304),(# 4307),(# 7274),(# 4334),(# 7523),(# 7271),(# 4309),(# 7175),(# 8070),(# 8032),(# 8071),(# 4331),(# 7177),(# 7178),(# 7179),(# 7180),(# 7176),,,,,,,,,,,,,,
3,Essentia Health Ada,Essentia Health,06/30/2020,Yes,14,0,14,10,,,,,,,2,,4,16,1,17,,14,,,14,31,,,,,,,,,,,,,,
4,Riverwood Healthcare Center,No Affiliation,09/30/2020,Yes,25,6,25,358,120,9,2,27,6,55,131,,55,763,-68,695,47,27,,,74,769,,,,,,,,,,,,,,
100,Mayo Clinic Health System - Albert Lea and Austin**,Mayo Clinic,12/31/2020,No,159,22,84,"1,476",333,119,448,129,197,667,221,,204,"3,794",-227,"3,567",587,,,,587,"4,154",,,,,,,,,,,,,,
34,Alomere Health,No Affiliation,12/31/2020,No,127,14,73,869,115,19,,47,264,627,745,,156,"2,842",-246,"2,596",620,,,,620,"3,216",,,,,,,,,,,,,,
248,Community Behavioral Health Hospital-Alexandria,"Dept of Human Services, State of MN",06/30/2020,No,16,0,16,,,,129,,,,,,,129,0,129,,,,,,129,,,,,,,,,,,,,,
249,Community Behavioral Health Hospital - Annandale,"Dept of Human Services, State of MN",06/30/2020,No,16,0,16,,,,94,,,,,,,94,0,94,,,,,,94,,,,,,,,,,,,,,
200,Anoka Metro Regional Treatment Center,"Dept of Human Services, State of MN",06/30/2020,No,175,0,110,,,,355,,,,,,,355,0,355,,,,,,355,,,,,,,,,,,,,,
6,Appleton Area Health,No Affiliation,09/30/2020,Yes,15,1,15,38,2,2,1,18,,,13,,4,78,4,82,,41,,,41,123,,,,,,,,,,,,,,
